Feature Type,Alpha,Gamma,Polynomial Dimension,Protos per dimension,Epsilon,Convergent Training Sessions (from 10 training sessions)
NRB,0.2,0.95,2,18,0.5,8
NRB,0.2,0.95,2,18,0.25,7
NRB,0.1,0.99,2,12,0.5,9
NRB,0.175,0.99,2,52,0.75,3
NRB,0.075,0.8,2,12,0.25,7
NRB,0.075,1.0,2,12,0.75,7
NRB,0.05,0.9,2,18,0.5,8
NRB,0.01,1.0,2,12,0.5,6
NRB,0.125,0.8,2,27,0.25,7
NRB,0.5,1.0,2,12,0.25,3
NRB,0.075,1.0,2,18,0.25,8
NRB,0.2,0.99,2,18,0.75,8
NRB,0.125,0.99,2,52,0.75,4
NRB,0.2,1.0,2,12,0.25,7
NRB,0.05,1.0,2,18,0.75,6
NRB,0.15,0.95,2,8,0.25,6
NRB,0.1,1.0,2,12,0.5,8
NRB,0.1,1.0,2,18,0.75,8
NRB,0.125,0.8,2,18,0.75,9
NRB,0.4,0.95,2,21,0.5,2
NRB,0.075,0.8,2,21,0.75,4
NRB,0.2,0.95,2,27,0.25,4
NRB,0.025,0.9,2,18,0.75,9
NRB,0.05,0.8,2,12,0.75,8
NRB,0.01,0.95,2,12,0.75,8
NRB,0.075,1.0,2,12,0.25,10
NRB,0.1,0.95,2,21,0.5,5
NRB,0.2,0.8,2,52,0.75,6
NRB,0.1,0.99,2,27,0.5,5
NRB,0.4,0.9,2,36,0.75,7
NRB,0.125,0.99,2,8,0.5,6
NRB,0.01,0.99,2,8,0.5,7
NRB,0.175,0.8,2,18,0.5,9
NRB,0.05,1.0,2,12,0.25,9
NRB,0.4,1.0,2,18,0.25,5
NRB,0.1,0.99,2,12,0.25,10
NRB,0.01,0.8,2,8,0.25,6
NRB,0.025,0.95,2,8,0.5,8
NRB,0.125,0.95,2,18,0.75,9
NRB,0.075,0.9,2,18,0.75,9
NRB,0.2,0.99,2,36,0.75,7
NRB,0.075,0.8,2,36,0.5,3
NRB,0.125,0.99,2,21,0.25,6
NRB,0.1,0.99,2,18,0.75,9
NRB,0.2,1.0,2,36,0.75,10
NRB,0.05,0.95,2,8,0.25,8
NRB,0.175,1.0,2,18,0.25,8
NRB,0.15,0.95,2,27,0.75,6
NRB,0.15,0.99,2,18,0.5,8
NRB,0.2,0.99,2,52,0.75,4
NRB,0.125,0.9,2,36,0.75,8
NRB,0.175,0.9,2,36,0.75,7
NRB,0.1,0.95,2,27,0.5,6
NRB,0.025,0.95,2,36,0.75,1
NRB,0.15,1.0,2,21,0.5,3
NRB,0.01,0.9,2,12,0.25,5
NRB,0.05,0.95,2,36,0.5,5
NRB,0.15,0.8,2,18,0.25,8
NRB,0.1,0.95,2,27,0.75,5
NRB,0.125,0.95,2,21,0.75,7
NRB,0.1,0.8,2,27,0.75,7
NRB,0.175,0.99,2,36,0.5,4
NRB,0.05,0.9,2,36,0.75,6
NRB,0.125,1.0,2,27,0.5,4
NRB,0.1,1.0,2,21,0.75,6
NRB,0.025,0.99,2,12,0.5,8
NRB,0.025,0.8,2,21,0.5,3
NRB,0.15,0.9,2,21,0.25,6
NRB,0.125,0.99,2,12,0.25,9
NRB,0.4,0.99,2,18,0.5,8
NRB,0.01,0.95,2,8,0.5,8
NRB,0.175,1.0,2,52,0.75,3
NRB,0.175,0.95,2,27,0.25,6
NRB,0.075,0.99,2,8,0.25,7
NRB,0.05,1.0,2,12,0.75,8
NRB,0.5,1.0,2,36,0.25,6
NRB,0.15,0.99,2,12,0.5,6
NRB,0.175,0.95,2,27,0.75,8
NRB,0.025,0.95,2,12,0.5,10
NRB,0.2,0.8,2,27,0.5,8
NRB,0.4,1.0,2,21,0.5,1
NRB,0.05,0.99,2,18,0.25,4
NRB,0.125,0.9,2,8,0.25,5
NRB,0.01,0.99,2,12,0.25,5
NRB,0.15,0.95,2,12,0.25,9
NRB,0.05,0.8,2,18,0.75,9
NRB,0.125,0.99,2,18,0.5,7
NRB,0.175,1.0,2,27,0.75,4
NRB,0.01,0.99,2,12,0.5,7
NRB,0.175,0.8,2,18,0.75,7
NRB,0.125,1.0,2,36,0.75,7
NRB,0.05,0.8,2,21,0.5,5
NRB,0.125,1.0,2,18,0.25,7
NRB,0.125,0.99,2,21,0.5,3
NRB,0.15,0.9,2,8,0.5,5
NRB,0.4,0.8,2,36,0.5,8
NRB,0.15,0.99,2,27,0.25,2
NRB,0.15,0.99,2,27,0.75,8
NRB,0.075,0.8,2,8,0.75,3
NRB,0.4,0.95,2,36,0.25,5
NRB,0.5,0.8,2,36,0.5,7
NRB,0.075,0.9,2,8,0.25,7
NRB,0.5,0.99,2,52,0.75,5
NRB,0.2,0.99,2,12,0.25,8
NRB,0.4,0.95,2,36,0.75,9
NRB,0.2,0.99,2,8,0.5,4
NRB,0.075,0.99,2,18,0.75,10
NRB,0.075,0.99,2,18,0.25,3
NRB,0.5,0.9,2,36,0.75,8
NRB,0.05,0.9,2,8,0.75,3
NRB,0.15,0.95,2,18,0.75,9
NRB,0.05,0.95,2,12,0.5,7
NRB,0.05,0.9,2,12,0.5,9
NRB,0.075,0.8,2,8,0.5,3
NRB,0.05,0.95,2,36,0.75,5
NRB,0.5,1.0,2,18,0.25,4
NRB,0.075,0.95,2,18,0.75,9
NRB,0.175,0.95,2,18,0.75,7
NRB,0.15,0.8,2,36,0.75,9
NRB,0.4,0.95,2,52,0.75,5
NRB,0.075,0.8,2,18,0.25,7
NRB,0.4,0.99,2,18,0.25,5
NRB,0.1,0.95,2,8,0.5,8
NRB,0.2,0.8,2,36,0.25,2
NRB,0.1,0.95,2,52,0.75,3
NRB,0.175,0.99,2,18,0.75,9
NRB,0.075,0.95,2,36,0.75,6
NRB,0.4,0.8,2,52,0.5,3
NRB,0.025,0.9,2,12,0.25,7
NRB,0.125,0.99,2,8,0.25,7
NRB,0.075,0.95,2,18,0.5,10
NRB,0.025,0.8,2,8,0.25,6
NRB,0.125,0.8,2,18,0.5,6
NRB,0.2,0.9,2,18,0.5,7
NRB,0.175,0.9,2,52,0.75,6
NRB,0.075,0.9,2,21,0.5,7
NRB,0.025,0.8,2,18,0.5,7
NRB,0.075,1.0,2,8,0.5,9
NRB,0.025,0.99,2,18,0.75,7
NRB,0.175,0.95,2,21,0.5,4
NRB,0.1,0.9,2,36,0.5,3
NRB,0.05,1.0,2,18,0.25,7
NRB,0.175,0.8,2,27,0.75,8
NRB,0.2,0.9,2,36,0.25,3
NRB,0.1,0.8,2,18,0.5,10
NRB,0.175,0.99,2,27,0.75,6
NRB,0.175,1.0,2,18,0.5,8
NRB,0.2,0.95,2,36,0.75,6
NRB,0.125,0.9,2,18,0.25,7
NRB,0.4,0.95,2,18,0.75,5
NRB,0.075,1.0,2,18,0.5,8
NRB,0.4,1.0,2,27,0.25,3
NRB,0.2,0.95,2,36,0.25,3
NRB,0.175,0.9,2,27,0.5,5
NRB,0.1,0.95,2,18,0.5,7
NRB,0.2,1.0,2,27,0.25,4
NRB,0.025,0.99,2,8,0.75,7
NRB,0.1,1.0,2,18,0.5,7
NRB,0.175,0.8,2,27,0.25,5
NRB,0.125,0.95,2,36,0.75,6
NRB,0.2,0.8,2,27,0.25,6
NRB,0.15,0.9,2,27,0.25,7
NRB,0.175,0.9,2,18,0.75,7
NRB,0.175,0.9,2,36,0.25,2
NRB,0.125,0.9,2,12,0.25,5
NRB,0.1,0.9,2,12,0.75,5
NRB,0.125,1.0,2,21,0.75,5
NRB,0.05,0.9,2,12,0.25,7
NRB,0.175,1.0,2,36,0.75,3
NRB,0.05,0.9,2,8,0.25,9
NRB,0.175,0.8,2,21,0.75,6
NRB,0.2,0.9,2,36,0.5,9
NRB,0.2,1.0,2,36,0.5,8
NRB,0.2,0.95,2,18,0.75,10
NRB,0.5,0.8,2,36,0.75,7
NRB,0.15,0.95,2,21,0.75,6
NRB,0.175,0.99,2,18,0.25,8
NRB,0.175,1.0,2,8,0.25,6
NRB,0.4,1.0,2,52,0.75,5
NRB,0.2,0.9,2,18,0.75,8
NRB,0.175,0.8,2,36,0.75,8
NRB,0.1,0.9,2,18,0.5,8
NRB,0.175,1.0,2,8,0.75,4
NRB,0.15,0.99,2,18,0.75,4
NRB,0.2,1.0,2,27,0.75,6
NRB,0.025,0.8,2,12,0.75,8
NRB,0.5,0.95,2,8,0.25,4
NRB,0.4,0.95,2,21,0.25,7
NRB,0.2,0.8,2,18,0.25,6
NRB,0.5,0.99,2,27,0.25,5
NRB,0.075,0.8,2,12,0.5,8
NRB,0.01,1.0,2,18,0.75,2
NRB,0.01,0.9,2,8,0.25,6
NRB,0.125,0.9,2,8,0.5,2
NRB,0.15,0.8,2,8,0.25,4
NRB,0.125,0.95,2,52,0.75,2
NRB,0.4,0.9,2,36,0.5,8
NRB,0.5,1.0,2,52,0.5,5
NRB,0.4,0.99,2,21,0.25,3
NRB,0.15,0.8,2,52,0.75,5
NRB,0.075,0.8,2,27,0.5,7
NRB,0.15,1.0,2,36,0.5,4
NRB,0.5,0.9,2,52,0.75,5
NRB,0.075,0.99,2,12,0.75,9
NRB,0.15,1.0,2,52,0.5,3
NRB,0.5,0.95,2,27,0.75,3
NRB,0.2,1.0,2,21,0.25,3
NRB,0.01,0.99,2,12,0.75,8
NRB,0.125,0.8,2,18,0.25,7
NRB,0.025,0.9,2,12,0.75,10
NRB,0.025,0.8,2,12,0.5,9
NRB,0.15,0.99,2,12,0.75,8
NRB,0.2,1.0,2,12,0.75,2
NRB,0.125,0.8,2,12,0.25,10
NRB,0.05,0.9,2,18,0.25,5
NRB,0.05,0.8,2,27,0.75,7
NRB,0.05,1.0,2,8,0.25,5
NRB,0.05,0.8,2,36,0.75,7
NRB,0.075,0.8,2,8,0.25,3
NRB,0.15,0.95,2,18,0.5,8
NRB,0.4,0.9,2,27,0.75,5
NRB,0.1,0.8,2,12,0.25,7
NRB,0.5,0.95,2,12,0.5,1
NRB,0.1,0.9,2,27,0.75,5
NRB,0.1,0.8,2,36,0.5,5
NRB,0.125,0.9,2,8,0.75,4
NRB,0.1,0.8,2,8,0.5,2
NRB,0.4,0.99,2,8,0.25,1
NRB,0.4,1.0,2,36,0.75,9
NRB,0.2,0.8,2,36,0.75,9
NRB,0.075,1.0,2,18,0.75,8
NRB,0.15,0.99,2,36,0.5,5
NRB,0.1,0.8,2,18,0.25,9
NRB,0.05,0.9,2,18,0.75,9
NRB,0.15,0.8,2,21,0.75,5
NRB,0.01,0.8,2,21,0.75,3
NRB,0.01,0.95,2,12,0.25,4
NRB,0.2,0.9,2,52,0.75,4
NRB,0.15,0.99,2,8,0.75,6
NRB,0.01,0.95,2,8,0.75,4
NRB,0.175,0.9,2,27,0.75,6
NRB,0.5,0.9,2,52,0.25,4
NRB,0.05,0.99,2,27,0.75,4
NRB,0.025,0.8,2,8,0.5,9
NRB,0.01,0.9,2,18,0.75,6
NRB,0.125,0.95,2,12,0.25,9
NRB,0.4,0.99,2,18,0.75,3
NRB,0.15,0.8,2,18,0.75,9
NRB,0.1,1.0,2,8,0.25,8
NRB,0.075,0.95,2,12,0.75,10
NRB,0.125,0.9,2,21,0.75,5
NRB,0.025,1.0,2,8,0.75,9
NRB,0.175,0.95,2,52,0.75,6
NRB,0.2,1.0,2,52,0.5,2
NRB,0.2,0.8,2,21,0.75,7
NRB,0.01,1.0,2,21,0.75,5
NRB,0.15,1.0,2,27,0.75,5
NRB,0.05,0.8,2,12,0.25,7
NRB,0.025,1.0,2,8,0.5,8
NRB,0.2,0.9,2,12,0.5,5
NRB,0.175,0.9,2,36,0.5,9
NRB,0.075,0.95,2,8,0.25,9
NRB,0.05,1.0,2,27,0.75,1
NRB,0.15,0.99,2,27,0.5,4
NRB,0.5,0.9,2,36,0.25,6
NRB,0.125,0.8,2,36,0.5,6
NRB,0.125,0.95,2,18,0.25,7
NRB,0.125,0.95,2,18,0.5,6
NRB,0.1,0.99,2,36,0.75,5
NRB,0.075,0.99,2,36,0.5,4
NRB,0.4,0.9,2,21,0.5,2
NRB,0.5,0.95,2,36,0.75,8
NRB,0.5,0.8,2,52,0.75,9
NRB,0.2,0.99,2,21,0.75,4
NRB,0.175,0.95,2,21,0.75,3
NRB,0.4,0.99,2,27,0.5,2
NRB,0.4,0.9,2,27,0.25,6
NRB,0.125,0.99,2,21,0.75,4
NRB,0.175,0.95,2,18,0.5,6
NRB,0.2,0.99,2,21,0.25,4
NRB,0.2,0.95,2,12,0.25,8
NRB,0.05,0.9,2,12,0.75,10
NRB,0.05,1.0,2,21,0.25,3
NRB,0.15,0.9,2,12,0.25,10
NRB,0.01,0.9,2,8,0.5,7
NRB,0.075,0.8,2,18,0.75,10
NRB,0.025,1.0,2,36,0.75,3
NRB,0.1,0.9,2,8,0.5,4
NRB,0.15,0.9,2,8,0.25,3
NRB,0.125,1.0,2,8,0.25,8
NRB,0.1,0.95,2,18,0.75,8
NRB,0.025,0.99,2,21,0.75,2
NRB,0.025,0.9,2,27,0.75,5
NRB,0.125,0.8,2,12,0.5,8
NRB,0.175,0.8,2,36,0.5,7
NRB,0.2,0.95,2,8,0.75,1
NRB,0.5,0.95,2,18,0.75,2
NRB,0.15,0.95,2,18,0.25,9
NRB,0.1,1.0,2,27,0.75,3
NRB,0.15,1.0,2,8,0.25,8
NRB,0.125,0.9,2,12,0.5,7
NRB,0.025,0.9,2,12,0.5,9
NRB,0.5,0.95,2,12,0.25,3
NRB,0.1,0.8,2,8,0.25,3
NRB,0.4,0.9,2,52,0.75,5
NRB,0.15,0.95,2,21,0.5,8
NRB,0.5,0.95,2,27,0.5,6
NRB,0.175,0.9,2,12,0.75,4
NRB,0.025,0.8,2,27,0.75,2
NRB,0.05,0.95,2,21,0.25,2
NRB,0.05,0.99,2,12,0.75,7
NRB,0.1,0.8,2,18,0.75,10
NRB,0.075,0.95,2,21,0.75,7
NRB,0.175,0.9,2,12,0.25,7
NRB,0.4,0.99,2,12,0.5,5
NRB,0.1,0.9,2,8,0.25,5
NRB,0.05,1.0,2,8,0.5,9
NRB,0.125,0.9,2,27,0.75,8
NRB,0.05,0.95,2,18,0.5,7
NRB,0.05,0.95,2,8,0.75,4
NRB,0.175,0.8,2,21,0.5,5
NRB,0.125,0.95,2,8,0.5,6
NRB,0.05,0.95,2,8,0.5,7
NRB,0.5,0.99,2,21,0.5,2
NRB,0.05,0.99,2,18,0.75,7
NRB,0.2,1.0,2,12,0.5,8
NRB,0.05,0.9,2,21,0.75,5
NRB,0.5,0.99,2,36,0.5,5
NRB,0.125,0.8,2,36,0.75,8
NRB,0.175,0.8,2,52,0.75,7
NRB,0.1,1.0,2,36,0.75,3
NRB,0.01,0.9,2,18,0.5,2
NRB,0.1,0.99,2,8,0.25,8
NRB,0.1,0.99,2,12,0.75,9
NRB,0.175,0.8,2,12,0.75,5
NRB,0.05,0.9,2,27,0.75,5
NRB,0.5,1.0,2,27,0.25,6
NRB,0.5,0.8,2,52,0.25,2
NRB,0.05,0.99,2,36,0.75,5
NRB,0.15,1.0,2,12,0.25,10
NRB,0.025,0.95,2,18,0.5,6
NRB,0.075,0.9,2,18,0.25,4
NRB,0.125,1.0,2,52,0.75,3
NRB,0.15,0.8,2,21,0.25,2
NRB,0.025,0.8,2,8,0.75,7
NRB,0.125,0.9,2,36,0.5,3
NRB,0.2,1.0,2,18,0.25,8
NRB,0.2,0.9,2,18,0.25,10
NRB,0.15,1.0,2,21,0.25,2
NRB,0.1,0.95,2,8,0.25,8
NRB,0.4,0.9,2,8,0.5,2
NRB,0.125,0.95,2,12,0.75,10
NRB,0.125,1.0,2,18,0.75,7
NRB,0.175,0.95,2,36,0.75,7
NRB,0.075,1.0,2,8,0.75,9
NRB,0.025,1.0,2,8,0.25,6
NRB,0.025,0.8,2,12,0.25,4
NRB,0.125,0.8,2,27,0.5,7
NRB,0.125,0.99,2,18,0.75,7
NRB,0.025,1.0,2,27,0.75,3
NRB,0.15,0.8,2,18,0.5,9
NRB,0.4,0.95,2,36,0.5,7
NRB,0.15,0.95,2,36,0.5,3
NRB,0.175,0.99,2,12,0.25,6
NRB,0.15,1.0,2,8,0.5,5
NRB,0.4,0.99,2,52,0.5,3
NRB,0.15,1.0,2,52,0.75,3
NRB,0.05,0.99,2,18,0.5,6
NRB,0.2,0.9,2,27,0.5,7
NRB,0.4,0.9,2,36,0.25,6
NRB,0.2,1.0,2,18,0.5,7
NRB,0.075,0.95,2,12,0.25,7
NRB,0.025,1.0,2,18,0.5,3
NRB,0.025,1.0,2,12,0.25,1
NRB,0.025,1.0,2,12,0.5,7
NRB,0.1,0.9,2,12,0.25,8
NRB,0.125,0.9,2,52,0.75,6
NRB,0.1,0.95,2,21,0.75,6
NRB,0.075,1.0,2,21,0.75,4
NRB,0.05,0.99,2,8,0.25,8
NRB,0.2,0.99,2,18,0.25,6
NRB,0.175,0.8,2,21,0.25,7
NRB,0.075,1.0,2,12,0.5,8
NRB,0.175,1.0,2,52,0.5,3
NRB,0.1,1.0,2,12,0.75,6
NRB,0.15,0.8,2,12,0.5,3
NRB,0.05,1.0,2,12,0.5,10
NRB,0.025,1.0,2,12,0.75,9
NRB,0.15,0.99,2,18,0.25,6
NRB,0.1,0.9,2,27,0.5,4
NRB,0.15,0.95,2,21,0.25,4
NRB,0.125,1.0,2,27,0.75,3
NRB,0.5,0.9,2,36,0.5,7
NRB,0.025,0.99,2,21,0.5,3
NRB,0.4,0.95,2,27,0.25,6
NRB,0.4,0.99,2,12,0.25,7
NRB,0.025,0.9,2,8,0.5,8
NRB,0.15,1.0,2,18,0.25,4
NRB,0.125,1.0,2,27,0.25,4
NRB,0.2,0.99,2,27,0.5,6
NRB,0.4,0.95,2,27,0.5,7
NRB,0.075,0.95,2,21,0.5,2
NRB,0.4,0.9,2,21,0.75,1
NRB,0.05,0.8,2,27,0.5,4
NRB,0.1,1.0,2,27,0.5,3
NRB,0.5,0.95,2,36,0.5,4
NRB,0.2,1.0,2,8,0.25,8
NRB,0.075,1.0,2,27,0.75,5
NRB,0.2,0.8,2,27,0.75,8
NRB,0.1,0.9,2,8,0.75,4
NRB,0.15,0.99,2,8,0.25,5
NRB,0.175,0.8,2,36,0.25,1
NRB,0.075,0.8,2,18,0.5,7
NRB,0.2,1.0,2,18,0.75,6
NRB,0.125,0.95,2,27,0.75,5
NRB,0.15,0.8,2,21,0.5,3
NRB,0.4,1.0,2,18,0.75,4
NRB,0.4,0.9,2,8,0.75,1
NRB,0.075,0.99,2,21,0.75,4
NRB,0.15,0.99,2,21,0.5,5
NRB,0.075,0.9,2,8,0.5,7
NRB,0.01,0.95,2,18,0.75,8
NRB,0.125,0.8,2,21,0.5,6
NRB,0.15,1.0,2,12,0.75,5
NRB,0.01,1.0,2,8,0.5,8
NRB,0.175,0.95,2,12,0.25,8
NRB,0.2,0.8,2,18,0.75,9
NRB,0.4,0.95,2,18,0.5,6
NRB,0.175,0.95,2,21,0.25,3
NRB,0.15,0.95,2,12,0.5,8
NRB,0.15,0.9,2,27,0.75,6
NRB,0.15,0.9,2,18,0.5,4
NRB,0.05,0.99,2,12,0.25,7
NRB,0.075,0.99,2,18,0.5,7
NRB,0.2,0.95,2,36,0.5,6
NRB,0.075,0.99,2,8,0.75,4
NRB,0.1,1.0,2,21,0.25,4
NRB,0.025,0.95,2,12,0.75,10
NRB,0.01,0.8,2,8,0.75,10
NRB,0.2,1.0,2,27,0.5,7
NRB,0.5,0.8,2,36,0.25,6
NRB,0.125,0.95,2,21,0.5,6
NRB,0.125,0.8,2,12,0.75,4
NRB,0.4,1.0,2,52,0.5,3
NRB,0.125,1.0,2,18,0.5,6
NRB,0.025,0.99,2,8,0.25,7
NRB,0.1,0.8,2,12,0.5,7
NRB,0.5,0.99,2,36,0.75,4
NRB,0.1,0.99,2,27,0.75,8
NRB,0.025,0.9,2,36,0.75,3
NRB,0.075,0.8,2,21,0.5,5
NRB,0.1,0.95,2,36,0.75,5
NRB,0.05,0.8,2,8,0.25,6
NRB,0.1,0.9,2,27,0.25,3
NRB,0.1,0.9,2,36,0.75,6
NRB,0.125,1.0,2,8,0.5,8
NRB,0.075,1.0,2,8,0.25,7
NRB,0.1,0.8,2,21,0.5,6
NRB,0.2,0.99,2,12,0.5,6
NRB,0.5,0.95,2,36,0.25,7
NRB,0.1,0.8,2,52,0.75,6
NRB,0.2,0.95,2,12,0.5,8
